实际功率,原系统预测功率,超短期预测功率
27.670000076293945,32.24,30.486770629882812
33.790000915527344,32.09,30.51145362854004
30.239999771118164,31.94,30.26011085510254
30.439998626708984,31.79,30.39219093322754
31.96999740600586,31.66,30.711875915527344
32.150001525878906,31.55,30.60751724243164
32.4900016784668,31.43,30.73610496520996
29.739999771118164,31.32,30.55910301208496
35.470001220703125,31.25,30.453935623168945
30.610000610351562,31.22,30.25971794128418
29.93000030517578,31.2,30.4539794921875
33.099998474121094,31.18,30.501516342163086
28.809999465942383,31.08,30.37957763671875
27.560001373291016,30.9,30.103351593017578
29.229999542236328,30.73,30.034236907958984
34.65999984741211,30.56,29.98749351501465
33.2400016784668,30.34,31.978519439697266
33.630001068115234,30.07,31.871662139892578
34.470001220703125,29.81,31.474964141845703
33.27000045776367,29.54,31.439308166503906
33.2400016784668,29.29,31.557294845581055
33.36000061035156,29.05,31.322633743286133
30.51999855041504,28.81,31.335102081298828
26.530000686645508,28.58,31.0015869140625
29.290000915527344,28.38,30.743244171142578
30.8799991607666,28.21,30.41741180419922
34.209999084472656,28.04,30.55670738220215
31.6299991607666,27.88,30.497596740722656
34.470001220703125,27.79,30.21202850341797
34.959999084472656,27.79,29.849082946777344
35.779998779296875,27.79,29.68429946899414
35.880001068115234,27.79,29.562652587890625
36.63999938964844,27.9,33.07810974121094
36.310001373291016,28.12,32.94038391113281
34.560001373291016,28.34,32.52354431152344
36.0099983215332,28.56,32.47279357910156
35.720001220703125,28.83,32.58610534667969
36.290000915527344,29.17,32.334442138671875
32.209999084472656,29.5,32.32872009277344
32.290000915527344,29.83,31.954242706298828
39.18000030517578,30.12,31.695384979248047
37.08000183105469,30.36,31.323734283447266
36.630001068115234,30.61,31.46266746520996
34.86000061035156,30.85,31.37305450439453
38.43000030517578,31.01,31.089889526367188
32.849998474121094,31.1,30.686080932617188
34.060001373291016,31.18,30.525619506835938
29.040000915527344,31.26,30.38295555114746
30.919998168945312,31.37,29.149307250976562
29.68000030517578,31.5,29.410802841186523
27.920000076293945,31.63,29.37967300415039
30.329999923706055,31.75,29.82804298400879
27.950002670288086,31.86,30.486478805541992
30.25,31.95,30.56406593322754
33.560001373291016,32.04,30.85784912109375
38.849998474121094,32.13,30.936147689819336
38.41999816894531,32.29,31.143842697143555
35.4900016784668,32.51,31.086444854736328
33.90999984741211,32.73,31.479469299316406
34.38999938964844,32.96,31.745485305786133
37.91999816894531,33.14,31.826047897338867
33.279998779296875,33.28,31.700733184814453
35.40999984741211,33.42,31.761810302734375
38.900001525878906,33.55,31.87082290649414
40.209999084472656,33.81,37.6263542175293
39.06999969482422,34.17,37.77241134643555
39.93000030517578,34.54,37.599281311035156
40.9900016784668,34.9,37.93400573730469
40.849998474121094,35.2,38.5084114074707
39.81999969482422,35.44,38.509193420410156
40.619998931884766,35.68,38.739627838134766
40.900001525878906,35.92,38.5340461730957
40.52000045776367,36.06,38.625709533691406
41.45000076293945,36.1,38.359619140625
40.7400016784668,36.14,38.90026092529297
41.279998779296875,36.18,39.04849624633789
39.459999084472656,36.18,38.837745666503906
40.29999923706055,36.15,38.62665557861328
39.400001525878906,36.12,38.586544036865234
37.459999084472656,36.09,38.6079216003418
35.970001220703125,36.05,34.5967903137207
37.029998779296875,36.01,34.344547271728516
35.599998474121094,35.96,33.9359130859375
34.689998626708984,35.92,33.74138641357422
32.959999084472656,35.82,33.71064758300781
39.119998931884766,35.66,33.422271728515625
35.060001373291016,35.51,33.41517639160156
34.369998931884766,35.35,32.8040657043457
33.16999816894531,35.18,32.452388763427734
32.34000015258789,35.0,31.96714210510254
28.0,34.83,32.219757080078125
32.11000061035156,34.65,32.03519821166992
27.229999542236328,34.46,31.577804565429688
31.249998092651367,34.26,31.22635841369629
29.549999237060547,34.05,31.00084114074707
27.209999084472656,33.85,30.837156295776367
29.219999313354492,31.39,25.220956802368164
28.51000213623047,31.33,25.142423629760742
34.689998626708984,31.26,24.870826721191406
35.16999816894531,31.2,24.812965393066406
34.9900016784668,31.08,24.893596649169922
31.989999771118164,30.91,24.733728408813477
29.240001678466797,30.74,24.736785888671875
31.06999969482422,30.57,24.402612686157227
26.270002365112305,30.38,24.253015518188477
26.809999465942383,30.19,23.962190628051758
33.81999969482422,30.0,24.13229751586914
32.61000061035156,29.81,24.069055557250977
33.439998626708984,29.6,23.80569076538086
32.54999923706055,29.35,23.638315200805664
31.080001831054688,29.11,23.464614868164062
28.0,28.86,23.391727447509766
24.809999465942383,28.64,26.81284523010254
31.940000534057617,28.44,26.914011001586914
31.06999969482422,28.24,26.784799575805664
31.540002822875977,28.05,27.007030487060547
30.67999839782715,27.88,27.39946937561035
30.020000457763672,27.74,27.357669830322266
34.68000030517578,27.61,27.561412811279297
29.739999771118164,27.47,27.49558448791504
30.51000213623047,27.55,27.50990104675293
30.229999542236328,27.84,27.397518157958984
29.62000274658203,28.14,27.614885330200195
29.940000534057617,28.43,27.7524471282959
28.770000457763672,28.67,27.76801109313965
30.540000915527344,28.85,27.56342315673828
26.229999542236328,29.03,27.559926986694336
26.850000381469727,29.22,27.590381622314453
33.29999923706055,29.4,25.03409194946289
30.969999313354492,29.59,25.01995277404785
31.770000457763672,29.78,24.801652908325195
32.209999084472656,29.97,24.849626541137695
27.93000030517578,30.11,25.001802444458008
31.299999237060547,30.18,24.872255325317383
37.369998931884766,30.25,24.88914680480957
32.31999969482422,30.33,24.610536575317383
33.63999938964844,30.45,24.526681900024414
38.9900016784668,30.61,24.23724365234375
34.58000183105469,30.77,24.522422790527344
34.849998474121094,30.94,24.525123596191406
35.79999923706055,30.92,24.256099700927734
32.54999923706055,30.72,24.137123107910156
38.20000076293945,30.52,23.985260009765625
37.470001220703125,30.32,23.99256706237793
29.530000686645508,30.07,33.38215637207031
36.61000061035156,29.75,33.03828048706055
32.25,29.44,32.47856140136719
27.309999465942383,29.13,32.19371795654297
29.760000228881836,28.91,32.03075408935547
30.09000015258789,28.78,31.593915939331055
25.62000274658203,28.66,31.566865921020508
32.599998474121094,28.53,31.08771514892578
33.7599983215332,28.5,30.561264038085938
25.80999755859375,28.57,30.141088485717773
18.739999771118164,28.64,30.024354934692383
21.010000228881836,28.71,29.814313888549805
22.110000610351562,28.87,29.564228057861328
19.200000762939453,29.1,28.93625259399414
23.080001831054688,29.34,28.763877868652344
28.119998931884766,29.58,28.508588790893555
29.5,29.84,27.626745223999023
21.6299991607666,30.13,27.743093490600586
26.739999771118164,30.41,27.559127807617188
24.049997329711914,30.69,27.783626556396484
25.75,30.99,28.103893280029297
27.010000228881836,31.29,28.012622833251953
23.690000534057617,31.59,28.112144470214844
27.420000076293945,31.89,27.999263763427734
30.149999618530273,32.07,27.970298767089844
28.81999969482422,32.13,27.73887825012207
25.899999618530273,32.19,28.097970962524414
24.299997329711914,32.26,28.226003646850586
31.049999237060547,32.32,28.007678985595703
31.770000457763672,32.38,27.861614227294922
27.979999542236328,32.45,27.752077102661133
25.440000534057617,32.51,27.77781105041504
22.219999313354492,32.57,23.839000701904297
26.139999389648438,32.64,23.800214767456055
24.139999389648438,32.7,23.611270904541016
24.35999870300293,32.76,23.63640594482422
25.68000030517578,32.79,23.787330627441406
24.35999870300293,32.79,23.667442321777344
24.729999542236328,32.78,23.773488998413086
19.329999923706055,32.78,23.565706253051758
22.989999771118164,32.68,23.44475746154785
23.34000015258789,32.49,23.2719783782959
21.700000762939453,32.29,23.396896362304688
22.84000015258789,32.1,23.416671752929688
18.709999084472656,31.87,23.319597244262695
22.239999771118164,31.62,23.11954689025879
19.270000457763672,31.37,23.051511764526367
16.040000915527344,31.11,23.02003288269043
14.149998664855957,31.36,15.179204940795898
16.190000534057617,31.23,15.43388557434082
19.489999771118164,31.09,15.523801803588867
24.229999542236328,30.95,15.84306526184082
26.530000686645508,30.65,16.302270889282227
23.96999740600586,30.19,16.45834732055664
22.459999084472656,29.72,16.65337371826172
20.079999923706055,29.25,16.760608673095703
18.700000762939453,28.86,17.006885528564453
23.940000534057617,28.54,17.08048439025879
18.149999618530273,28.23,17.345796585083008
21.799999237060547,27.91,17.568838119506836
19.510000228881836,27.82,17.6756591796875
18.190000534057617,27.96,17.801755905151367
19.149999618530273,28.09,17.838205337524414
21.549999237060547,28.23,17.98729705810547
23.569997787475586,28.31,21.6050968170166
22.389999389648438,28.33,21.89430809020996
28.51000213623047,28.35,21.91436004638672
30.439998626708984,28.37,22.301349639892578
27.030000686645508,28.37,22.88759994506836
25.610000610351562,28.34,23.033164978027344
27.350000381469727,28.32,23.29793930053711
31.850000381469727,28.3,23.431970596313477
30.999998092651367,28.43,23.664030075073242
31.290000915527344,28.73,23.745285034179688
29.6299991607666,29.02,24.012014389038086
33.08000183105469,29.32,24.278047561645508
