实际功率,原系统预测功率,超短期预测功率
21.6299991607666,30.13,28.614931106567383
26.739999771118164,30.41,28.074535369873047
24.049997329711914,30.69,27.989337921142578
25.75,30.99,27.802459716796875
27.010000228881836,31.29,27.525083541870117
23.690000534057617,31.59,27.621309280395508
27.420000076293945,31.89,27.418142318725586
30.149999618530273,32.07,26.84395980834961
28.81999969482422,32.13,26.432601928710938
25.899999618530273,32.19,26.583251953125
24.299997329711914,32.26,26.592716217041016
31.049999237060547,32.32,26.683135986328125
31.770000457763672,32.38,26.947845458984375
27.979999542236328,32.45,26.204744338989258
25.440000534057617,32.51,26.37958335876465
22.219999313354492,32.57,26.073152542114258
26.139999389648438,32.64,26.18814468383789
24.139999389648438,32.7,25.85458755493164
24.35999870300293,32.76,25.480276107788086
25.68000030517578,32.79,25.20178985595703
24.35999870300293,32.79,24.8258056640625
24.729999542236328,32.78,24.739103317260742
19.329999923706055,32.78,24.388423919677734
22.989999771118164,32.68,23.845767974853516
23.34000015258789,32.49,23.150379180908203
21.700000762939453,32.29,23.367107391357422
22.84000015258789,32.1,23.11320686340332
18.709999084472656,31.87,23.21055793762207
22.239999771118164,31.62,23.475589752197266
19.270000457763672,31.37,22.686586380004883
16.040000915527344,31.11,22.860158920288086
14.149998664855957,31.36,17.117040634155273
16.190000534057617,31.23,17.70453453063965
19.489999771118164,31.09,17.71129608154297
24.229999542236328,30.95,17.723791122436523
26.530000686645508,30.65,17.923656463623047
23.96999740600586,30.19,17.977846145629883
22.459999084472656,29.72,18.133581161499023
20.079999923706055,29.25,18.06479263305664
18.700000762939453,28.86,18.151485443115234
23.940000534057617,28.54,17.740962982177734
18.149999618530273,28.23,17.949325561523438
21.799999237060547,27.91,18.121326446533203
19.510000228881836,27.82,18.658788681030273
18.190000534057617,27.96,19.120349884033203
19.149999618530273,28.09,18.5045108795166
21.549999237060547,28.23,18.84125328063965
23.569997787475586,28.31,22.384632110595703
22.389999389648438,28.33,22.946474075317383
28.51000213623047,28.35,22.60651397705078
30.439998626708984,28.37,22.730295181274414
27.030000686645508,28.37,22.875667572021484
25.610000610351562,28.34,22.752288818359375
27.350000381469727,28.32,22.781930923461914
31.850000381469727,28.3,22.881547927856445
30.999998092651367,28.43,22.85845375061035
31.290000915527344,28.73,22.443222045898438
29.6299991607666,29.02,22.586597442626953
33.08000183105469,29.32,22.96460723876953
28.709999084472656,29.66,23.236305236816406
35.810001373291016,30.06,23.68028450012207
35.209999084472656,30.46,22.94339370727539
30.479999542236328,30.85,23.43003273010254
32.970001220703125,31.21,31.060169219970703
37.650001525878906,31.51,31.187623977661133
37.43000030517578,31.82,30.798362731933594
37.970001220703125,32.13,30.434310913085938
39.790000915527344,32.42,30.10768699645996
37.63999938964844,32.7,29.601537704467773
39.13999938964844,32.97,29.746444702148438
36.7400016784668,33.25,29.294164657592773
36.650001525878906,33.4,28.731836318969727
34.849998474121094,33.42,27.93050193786621
34.439998626708984,33.45,28.309598922729492
36.470001220703125,33.47,28.00816535949707
35.20000076293945,33.43,28.183683395385742
35.720001220703125,33.34,28.283245086669922
38.18000030517578,33.25,27.67580795288086
36.619998931884766,33.15,27.804893493652344
33.11000061035156,33.06,36.686344146728516
28.5,32.96,36.59996032714844
