实际功率,原系统预测功率,超短期预测功率
29.549999237060547,34.05,30.75116539001465
27.209999084472656,33.85,30.23320198059082
29.219999313354492,31.39,27.138351440429688
28.51000213623047,31.33,26.921138763427734
34.689998626708984,31.26,26.571788787841797
35.16999816894531,31.2,26.24115562438965
34.9900016784668,31.08,25.987180709838867
31.989999771118164,30.91,25.52701759338379
29.240001678466797,30.74,25.531633377075195
31.06999969482422,30.57,25.348302841186523
26.270002365112305,30.38,25.080059051513672
26.809999465942383,30.19,24.776168823242188
33.81999969482422,30.0,24.724836349487305
32.61000061035156,29.81,24.268903732299805
33.439998626708984,29.6,24.06993293762207
32.54999923706055,29.35,24.02320671081543
31.080001831054688,29.11,23.568445205688477
28.0,28.86,23.23919677734375
24.809999465942383,28.64,27.832275390625
31.940000534057617,28.44,27.75140953063965
31.06999969482422,28.24,27.518505096435547
31.540002822875977,28.05,27.40723419189453
30.67999839782715,27.88,27.40351104736328
30.020000457763672,27.74,27.16305923461914
34.68000030517578,27.61,27.2225399017334
29.739999771118164,27.47,27.20986557006836
30.51000213623047,27.55,27.174633026123047
30.229999542236328,27.84,26.9539852142334
29.62000274658203,28.14,26.95225715637207
29.940000534057617,28.43,26.550987243652344
28.770000457763672,28.67,26.49258041381836
30.540000915527344,28.85,26.594457626342773
26.229999542236328,29.03,26.195526123046875
26.850000381469727,29.22,25.903776168823242
33.29999923706055,29.4,27.276302337646484
30.969999313354492,29.59,27.168790817260742
31.770000457763672,29.78,26.906795501708984
32.209999084472656,29.97,26.738462448120117
27.93000030517578,30.11,26.655385971069336
31.299999237060547,30.18,26.328123092651367
37.369998931884766,30.25,26.40265464782715
32.31999969482422,30.33,26.3406925201416
33.63999938964844,30.45,26.207548141479492
38.9900016784668,30.61,25.975662231445312
34.58000183105469,30.77,25.958444595336914
34.849998474121094,30.94,25.56160545349121
35.79999923706055,30.92,25.45814323425293
32.54999923706055,30.72,25.50187110900879
38.20000076293945,30.52,25.087303161621094
37.470001220703125,30.32,24.789091110229492
29.530000686645508,30.07,34.196739196777344
36.61000061035156,29.75,33.673465728759766
32.25,29.44,33.04520034790039
27.309999465942383,29.13,32.3843879699707
29.760000228881836,28.91,31.85134506225586
30.09000015258789,28.78,31.10801124572754
25.62000274658203,28.66,30.910907745361328
32.599998474121094,28.53,30.415884017944336
33.7599983215332,28.5,29.906330108642578
25.80999755859375,28.57,29.337923049926758
18.739999771118164,28.64,29.13011360168457
21.010000228881836,28.71,28.311275482177734
22.110000610351562,28.87,27.853879928588867
19.200000762939453,29.1,27.639057159423828
23.080001831054688,29.34,27.029233932495117
28.119998931884766,29.58,26.453723907470703
29.5,29.84,28.651899337768555
21.6299991607666,30.13,28.60593032836914
26.739999771118164,30.41,28.457544326782227
24.049997329711914,30.69,28.49217987060547
25.75,30.99,28.5844783782959
27.010000228881836,31.29,28.384714126586914
23.690000534057617,31.59,28.566722869873047
27.420000076293945,31.89,28.669641494750977
30.149999618530273,32.07,28.723480224609375
28.81999969482422,32.13,28.61440658569336
25.899999618530273,32.19,28.711170196533203
24.299997329711914,32.26,28.397642135620117
31.049999237060547,32.32,28.4569091796875
31.770000457763672,32.38,28.615076065063477
27.979999542236328,32.45,28.21906852722168
25.440000534057617,32.51,27.95412826538086
22.219999313354492,32.57,25.782705307006836
26.139999389648438,32.64,25.65993881225586
24.139999389648438,32.7,25.375930786132812
24.35999870300293,32.76,25.152429580688477
25.68000030517578,32.79,25.014677047729492
24.35999870300293,32.79,24.659496307373047
24.729999542236328,32.78,24.68508529663086
19.329999923706055,32.78,24.579818725585938
22.989999771118164,32.68,24.41002655029297
23.34000015258789,32.49,24.143898010253906
21.700000762939453,32.29,24.118078231811523
22.84000015258789,32.1,23.726341247558594
18.709999084472656,31.87,23.584440231323242
22.239999771118164,31.62,23.6127872467041
19.270000457763672,31.37,23.19377326965332
16.040000915527344,31.11,22.897775650024414
14.149998664855957,31.36,17.459625244140625
16.190000534057617,31.23,17.614887237548828
19.489999771118164,31.09,17.63296127319336
24.229999542236328,30.95,17.777833938598633
26.530000686645508,30.65,17.968713760375977
23.96999740600586,30.19,18.00957489013672
22.459999084472656,29.72,18.203617095947266
20.079999923706055,29.25,18.405014038085938
18.700000762939453,28.86,18.54454231262207
23.940000534057617,28.54,18.584453582763672
18.149999618530273,28.23,18.716835021972656
21.799999237060547,27.91,18.687015533447266
19.510000228881836,27.82,18.856220245361328
18.190000534057617,27.96,19.058738708496094
19.149999618530273,28.09,18.834627151489258
21.549999237060547,28.23,18.804075241088867
23.569997787475586,28.31,22.199827194213867
22.389999389648438,28.33,22.266252517700195
28.51000213623047,28.35,22.232009887695312
30.439998626708984,28.37,22.404399871826172
27.030000686645508,28.37,22.647920608520508
25.610000610351562,28.34,22.686866760253906
27.350000381469727,28.32,22.86525535583496
31.850000381469727,28.3,23.050827026367188
30.999998092651367,28.43,23.242938995361328
31.290000915527344,28.73,23.263864517211914
29.6299991607666,29.02,23.37569236755371
33.08000183105469,29.32,23.212909698486328
28.709999084472656,29.66,23.388187408447266
35.810001373291016,30.06,23.59453773498535
35.209999084472656,30.46,23.332975387573242
30.479999542236328,30.85,23.21678924560547
32.970001220703125,31.21,29.396121978759766
37.650001525878906,31.51,29.323631286621094
37.43000030517578,31.82,29.087736129760742
37.970001220703125,32.13,28.979915618896484
39.790000915527344,32.42,28.997112274169922
37.63999938964844,32.7,28.728309631347656
39.13999938964844,32.97,28.81464958190918
36.7400016784668,33.25,28.807126998901367
36.650001525878906,33.4,28.780643463134766
34.849998474121094,33.42,28.532085418701172
34.439998626708984,33.45,28.542966842651367
36.470001220703125,33.47,28.127294540405273
35.20000076293945,33.43,28.043689727783203
35.720001220703125,33.34,28.15349578857422
38.18000030517578,33.25,27.730388641357422
36.619998931884766,33.15,27.407081604003906
33.11000061035156,33.06,34.436824798583984
28.5,32.96,34.12879180908203
37.38999938964844,32.87,33.717376708984375
29.43000030517578,32.77,33.34436798095703
32.279998779296875,32.66,33.09962463378906
27.34000015258789,32.53,32.58053207397461
32.13999938964844,32.41,32.60788345336914
28.850000381469727,32.28,32.37053298950195
27.089998245239258,32.21,32.10184097290039
26.860000610351562,32.18,31.70672607421875
30.239999771118164,32.16,31.637836456298828
32.709999084472656,32.14,30.999048233032227
34.380001068115234,32.17,30.73761749267578
32.43000030517578,32.25,30.676040649414062
31.400001525878906,32.32,30.149106979370117
32.36000061035156,32.4,29.68600845336914
39.13999938964844,32.52,31.584218978881836
35.970001220703125,32.66,31.4520320892334
31.549999237060547,32.8,31.2154483795166
31.84000015258789,32.95,31.130966186523438
28.860000610351562,33.06,31.198486328125
31.6299991607666,33.14,30.967920303344727
32.36000061035156,33.21,31.047985076904297
28.790000915527344,33.29,31.04153823852539
33.369998931884766,33.36,31.061962127685547
34.279998779296875,33.41,30.832609176635742
36.650001525878906,33.46,30.840726852416992
35.91999816894531,33.52,30.36357307434082
33.13999938964844,33.51,30.316761016845703
33.2599983215332,33.44,30.42255973815918
31.520000457763672,33.37,29.98793601989746
31.560001373291016,33.3,29.632062911987305
31.510000228881836,33.23,30.768159866333008
